Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Tyreke Evans (11735351),Tyreke Evans,11735351,SG/SF/F/G/UTIL,5000,IND@SAC 12/01/2018 10:00PM ET,IND,21.01
SF,Cedi Osman (11735359),Cedi Osman,11735359,SF/F/UTIL,4900,TOR@CLE 12/01/2018 08:00PM ET,CLE,23.63
C,Jonas Valanciunas (11735362),Jonas Valanciunas,11735362,C/UTIL,4800,TOR@CLE 12/01/2018 08:00PM ET,TOR,26.14
SF/PF,Thaddeus Young (11735364),Thaddeus Young,11735364,SF/PF/F/UTIL,4700,IND@SAC 12/01/2018 10:00PM ET,IND,21.57
SG/SF,Rodney Hood (11735368),Rodney Hood,11735368,SG/SF/F/G/UTIL,4600,TOR@CLE 12/01/2018 08:00PM ET,CLE,21.5
C,Wendell Carter Jr. (11735373),Wendell Carter Jr.,11735373,C/UTIL,4600,CHI@HOU 12/01/2018 08:00PM ET,CHI,27.68
SG/SF,Danny Green (11735375),Danny Green,11735375,SG/SF/F/G/UTIL,4500,TOR@CLE 12/01/2018 08:00PM ET,TOR,20.61
SG/SF,Kelly Oubre Jr. (11735388),Kelly Oubre Jr.,11735388,SG/SF/F/G/UTIL,4500,BKN@WAS 12/01/2018 07:00PM ET,WAS,21.88
SG/SF,Jaylen Brown (11735383),Jaylen Brown,11735383,SG/SF/F/G/UTIL,4500,BOS@MIN 12/01/2018 08:00PM ET,BOS,20.37
PF,Dario Saric (11735393),Dario Saric,11735393,PF/F/UTIL,4500,BOS@MIN 12/01/2018 08:00PM ET,MIN,22.69
PG,Ryan Arcidiacono (11735380),Ryan Arcidiacono,11735380,PG/G/UTIL,4500,CHI@HOU 12/01/2018 08:00PM ET,CHI,20.06
PG/SG,Fred VanVleet (11735399),Fred VanVleet,11735399,PG/SG/G/UTIL,4400,TOR@CLE 12/01/2018 08:00PM ET,TOR,20.57
PG,Cory Joseph (11735396),Cory Joseph,11735396,PG/G/UTIL,4400,IND@SAC 12/01/2018 10:00PM ET,IND,20.27
PF/C,Taj Gibson (11735407),Taj Gibson,11735407,PF/C/F/UTIL,4300,BOS@MIN 12/01/2018 08:00PM ET,MIN,24.57
SF/PF,P.J. Tucker (11735403),P.J. Tucker,11735403,SF/PF/F/UTIL,4300,CHI@HOU 12/01/2018 08:00PM ET,HOU,21.54
PG/SG,Marcus Smart (11735411),Marcus Smart,11735411,PG/SG/G/UTIL,4200,BOS@MIN 12/01/2018 08:00PM ET,BOS,19.78
PG/SG,Terry Rozier (11735419),Terry Rozier,11735419,PG/SG/G/UTIL,4100,BOS@MIN 12/01/2018 08:00PM ET,BOS,18.18
SF/PF,Jonas Jerebko (11735415),Jonas Jerebko,11735415,SF/PF/F/UTIL,4100,GS@DET 12/01/2018 07:00PM ET,GS,17.91
SG/SF,Joe Harris (11735423),Joe Harris,11735423,SG/SF/F/G/UTIL,4000,BKN@WAS 12/01/2018 07:00PM ET,BKN,22.34
SF/PF,Stanley Johnson (11735428),Stanley Johnson,11735428,SF/PF/F/UTIL,4000,GS@DET 12/01/2018 07:00PM ET,DET,19.38
PG,Quinn Cook (11735432),Quinn Cook,11735432,PG/G/UTIL,4000,GS@DET 12/01/2018 07:00PM ET,GS,18.76
SF/PF,Sam Dekker (11735435),Sam Dekker,11735435,SF/PF/F/UTIL,3900,TOR@CLE 12/01/2018 08:00PM ET,CLE,14.86
SF/PF,Jeff Green (11735439),Jeff Green,11735439,SF/PF/F/UTIL,3900,BKN@WAS 12/01/2018 07:00PM ET,WAS,20.53
SF/PF,Nemanja Bjelica (11735443),Nemanja Bjelica,11735443,SF/PF/F/UTIL,3900,IND@SAC 12/01/2018 10:00PM ET,SAC,24.89
PG/SG,George Hill (11735447),George Hill,11735447,PG/SG/G/UTIL,3800,TOR@CLE 12/01/2018 08:00PM ET,CLE,21.48
SG/SF,Reggie Bullock (11735456),Reggie Bullock,11735456,SG/SF/F/G/UTIL,3800,GS@DET 12/01/2018 07:00PM ET,DET,19.42
SG/SF,James Ennis III (11735451),James Ennis III,11735451,SG/SF/F/G/UTIL,3800,CHI@HOU 12/01/2018 08:00PM ET,HOU,15.40
SG/SF,David Nwaba (11735466),David Nwaba,11735466,SG/SF/F/G/UTIL,3700,TOR@CLE 12/01/2018 08:00PM ET,CLE,12.79
SG/SF,Allen Crabbe (11735471),Allen Crabbe,11735471,SG/SF/F/G/UTIL,3700,BKN@WAS 12/01/2018 07:00PM ET,BKN,15.48
SG/SF,Andre Iguodala (11735476),Andre Iguodala,11735476,SG/SF/F/G/UTIL,3700,GS@DET 12/01/2018 07:00PM ET,GS,15.62
PF/C,Kevon Looney (11735481),Kevon Looney,11735481,PF/C/F/UTIL,3700,GS@DET 12/01/2018 07:00PM ET,GS,16.85
SG/SF,Iman Shumpert (11735461),Iman Shumpert,11735461,SG/SF/F/G/UTIL,3700,IND@SAC 12/01/2018 10:00PM ET,SAC,19.75
