Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Luke Kornet (11701137),Luke Kornet,11701137,PF/F/UTIL,3000,NYK@MEM 11/25/2018 06:00PM ET,NYK,0.0
PG,Jordan Loyd (11701144),Jordan Loyd,11701144,PG/G/UTIL,3000,MIA@TOR 11/25/2018 06:00PM ET,TOR,9.58481328597
PF,Chris Boucher (11701147),Chris Boucher,11701147,PF/F/UTIL,3000,MIA@TOR 11/25/2018 06:00PM ET,TOR,8.95423346453
PF,Udonis Haslem (11701150),Udonis Haslem,11701150,PF/F/UTIL,3000,MIA@TOR 11/25/2018 06:00PM ET,MIA,1.87348083515
SF,Derrick Jones Jr. (11701153),Derrick Jones Jr.,11701153,SF/F/UTIL,3000,MIA@TOR 11/25/2018 06:00PM ET,MIA,9.21128077283
SF,Duncan Robinson (11701156),Duncan Robinson,11701156,SF/F/UTIL,3000,MIA@TOR 11/25/2018 06:00PM ET,MIA,1.63929573076
PF,Yante Maten (11701159),Yante Maten,11701159,PF/F/UTIL,3000,MIA@TOR 11/25/2018 06:00PM ET,MIA,0.0
PG,Devonte' Graham (11701162),Devonte' Graham,11701162,PG/G/UTIL,3000,CHA@ATL 11/25/2018 06:00PM ET,CHA,4.94118105329
SG,J.P. Macura (11701165),J.P. Macura,11701165,SG/G/UTIL,3000,CHA@ATL 11/25/2018 06:00PM ET,CHA,0.0
PG,Joe Chealey (11701168),Joe Chealey,11701168,PG/G/UTIL,3000,CHA@ATL 11/25/2018 06:00PM ET,CHA,0.0
PF/C,Frank Kaminsky (11701171),Frank Kaminsky,11701171,PF/C/F/UTIL,3000,CHA@ATL 11/25/2018 06:00PM ET,CHA,18.927235899
C,Bismack Biyombo (11701175),Bismack Biyombo,11701175,C/UTIL,3000,CHA@ATL 11/25/2018 06:00PM ET,CHA,3.26620442505
C,Miles Plumlee (11701177),Miles Plumlee,11701177,C/UTIL,3000,CHA@ATL 11/25/2018 06:00PM ET,ATL,10.0944609772
SF/PF,Justin Anderson (11701179),Justin Anderson,11701179,SF/PF/F/UTIL,3000,CHA@ATL 11/25/2018 06:00PM ET,ATL,9.11650827174
PG,Tyler Dorsey (11701183),Tyler Dorsey,11701183,PG/G/UTIL,3000,CHA@ATL 11/25/2018 06:00PM ET,ATL,6.63018783399
PG,Jaylen Adams (11701186),Jaylen Adams,11701186,PG/G/UTIL,3000,CHA@ATL 11/25/2018 06:00PM ET,ATL,0.0
SG,Daniel Hamilton (11701189),Daniel Hamilton,11701189,SG/G/UTIL,3000,CHA@ATL 11/25/2018 06:00PM ET,ATL,0.497264087549
PG,Raul Neto (11701192),Raul Neto,11701192,PG/G/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,UTA,3.72985353693
C,ToNYK Bradley (11701195),ToNYK Bradley,11701195,C/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,UTA,0.0
PF,Tyler Cavanaugh (11701197),Tyler Cavanaugh,11701197,PF/F/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,UTA,0.0
PG,Nazareth Mitrou-Long (11701200),Nazareth Mitrou-Long,11701200,PG/G/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,UTA,0.0
PF,Georges Niang (11701203),Georges Niang,11701203,PF/F/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,UTA,2.48656902462
SF/PF,Thabo Sefolosha (11701206),Thabo Sefolosha,11701206,SF/PF/F/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,UTA,9.32463384232
C,Ekpe Udoh (11701210),Ekpe Udoh,11701210,C/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,UTA,3.67247117482
SG,Troy Williams (11701212),Troy Williams,11701212,SG/G/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,SAC,9.90083517327
SF,WeNYKen Gabriel (11701215),WeNYKen Gabriel,11701215,SF/F/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,SAC,0.0
PF/C,Skal Labissiere (11701218),Skal Labissiere,11701218,PF/C/F/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,SAC,7.18609004512
PF,Harry Giles (11701222),Harry Giles,11701222,PF/F/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,SAC,12.6954257464
PF/C,Zach Randolph (11701227),Zach Randolph,11701227,PF/C/F/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,SAC,0.0
PG/SG,Yogi Ferrell (11701231),Yogi Ferrell,11701231,PG/SG/G/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,SAC,13.8398771239
SG/SF,Ben McLemore (11701235),Ben McLemore,11701235,SG/SF/F/G/UTIL,3000,UTA@SAC 11/25/2018 08:00PM ET,SAC,0.0
