Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Shaquille Harrison (11720674),Shaquille Harrison,11720674,PG/G/UTIL,3400,CHI@MIL 11/28/2018 08:00PM ET,CHI,18.19
PF/C,Richaun Holmes (11720677),Richaun Holmes,11720677,PF/C/F/UTIL,3400,PHO@LAC 11/28/2018 10:30PM ET,PHO,13.09
PG/SG,Jamal Crawford (11720698),Jamal Crawford,11720698,PG/SG/G/UTIL,3400,PHO@LAC 11/28/2018 10:30PM ET,PHO,11.69
C,Boban Marjanovic (11720702),Boban Marjanovic,11720702,C/UTIL,3400,PHO@LAC 11/28/2018 10:30PM ET,LAC,16.86
SF/PF,Miles Bridges (11720712),Miles Bridges,11720712,SF/PF/F/UTIL,3400,ATL@CHA 11/28/2018 07:00PM ET,CHA,16.26
PG/SG,Dante Exum (11720681),Dante Exum,11720681,PG/SG/G/UTIL,3400,UTA@BKN 11/28/2018 07:30PM ET,UTA,13.21
SF/PF,Gary Clark (11720685),Gary Clark,11720685,SF/PF/F/UTIL,3400,DAL@HOU 11/28/2018 08:00PM ET,HOU,11.18
PG/SG,Devin Harris (11720689),Devin Harris,11720689,PG/SG/G/UTIL,3400,DAL@HOU 11/28/2018 08:00PM ET,DAL,14.34
PG/SG,Tomas Satoransky (11720704),Tomas Satoransky,11720704,PG/SG/G/UTIL,3400,WAS@NO 11/28/2018 08:00PM ET,WAS,12.36
PG/SF,Frank Ntilikina (11720693),Frank Ntilikina,11720693,PG/SF/F/G/UTIL,3400,NY@PHI 11/28/2018 07:00PM ET,NY,14.89
SF/PF,Kevin Knox (11720708),Kevin Knox,11720708,SF/PF/F/UTIL,3400,NY@PHI 11/28/2018 07:00PM ET,NY,12.65
PF/C,Ersan Ilyasova (11720722),Ersan Ilyasova,11720722,PF/C/F/UTIL,3300,CHI@MIL 11/28/2018 08:00PM ET,MIL,18.10
SF,Josh Jackson (11720759),Josh Jackson,11720759,SF/F/UTIL,3300,PHO@LAC 11/28/2018 10:30PM ET,PHO,14.51
PF/C,Frank Kaminsky (11720726),Frank Kaminsky,11720726,PF/C/F/UTIL,3300,ATL@CHA 11/28/2018 07:00PM ET,CHA,10.11
PG/SG,Malik Monk (11720730),Malik Monk,11720730,PG/SG/G/UTIL,3300,ATL@CHA 11/28/2018 07:00PM ET,CHA,19.04
