Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Jordan McRae (11695843),Jordan McRae,11695843,PG/SG/G/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,WAS,4
C,Jahlil Okafor (11695963),Jahlil Okafor,11695963,C/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,NO,6.38
SF,Kenrich Williams (11695970),Kenrich Williams,11695970,SF/F/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,NO,2.25
PG,Trevon Bluiett (11695973),Trevon Bluiett,11695973,PG/G/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,NO,0
SG,Devin Robinson (11695979),Devin Robinson,11695979,SG/G/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,WAS,0
PG,Frank Jackson (11696027),Frank Jackson,11696027,PG/G/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,NO,6.56
SF,Troy Brown (11696055),Troy Brown,11696055,SF/F/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,WAS,5.19
SF/PF,Luol Deng (11695720),Luol Deng,11695720,SF/PF/F/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,9.5
SF/PF,Anthony Tolliver (11695724),Anthony Tolliver,11695724,SF/PF/F/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,12.62
C,Robin Lopez (11695751),Robin Lopez,11695751,C/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,CHI,9.92
PG/SG,Jerryd Bayless (11695761),Jerryd Bayless,11695761,PG/SG/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,0
SG/SF,C.J. Williams (11695781),C.J. Williams,11695781,SG/SF/F/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,3.5
SG/SF,James Nunnally (11695805),James Nunnally,11695805,SG/SF/F/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,4.46
