Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Chandler Hutchison (11676561),Chandler Hutchison,11676561,SG/G/UTIL,3200,PHO@CHI 11/21/2018 08:00PM ET,CHI,12.5
SG/SF,Lance Stephenson (11676545),Lance Stephenson,11676545,SG/SF/F/G/UTIL,3200,LAL@CLE 11/21/2018 08:00PM ET,LAL,18
C,Ante Zizic (11676591),Ante Zizic,11676591,C/UTIL,3200,LAL@CLE 11/21/2018 08:00PM ET,CLE,8.35
SF/PF,Doug McDermott (11676564),Doug McDermott,11676564,SF/PF/F/UTIL,3200,IND@CHA 11/21/2018 07:00PM ET,IND,9.02
PF/C,Kyle O'Quinn (11676934),Kyle O'Quinn,11676934,PF/C/F/UTIL,3200,IND@CHA 11/21/2018 07:00PM ET,IND,8.32
PF/C,Gorgui Dieng (11676572),Gorgui Dieng,11676572,PF/C/F/UTIL,3200,DEN@MIN 11/21/2018 08:00PM ET,MIN,13.59
SG,Timothe Luwawu-Cabarrot (11676539),Timothe Luwawu-Cabarrot,11676539,SG/G/UTIL,3200,OKC@GS 11/21/2018 10:30PM ET,OKC,4.72
PF,Alfonzo McKinnie (11676588),Alfonzo McKinnie,11676588,PF/F/UTIL,3200,OKC@GS 11/21/2018 10:30PM ET,GS,12.86
PG,Frank Mason III (11676542),Frank Mason III,11676542,PG/G/UTIL,3200,SAC@UTA 11/21/2018 09:00PM ET,SAC,14.25
SF,Justin Jackson (11676608),Justin Jackson,11676608,SF/F/UTIL,3200,SAC@UTA 11/21/2018 09:00PM ET,SAC,13.91
PG/SG,Devin Harris (11676550),Devin Harris,11676550,PG/SG/G/UTIL,3200,BKN@DAL 11/21/2018 08:30PM ET,DAL,10.5
SF/PF,Jared Dudley (11676568),Jared Dudley,11676568,SF/PF/F/UTIL,3200,BKN@DAL 11/21/2018 08:30PM ET,BKN,14.32
PG/SG,Shabazz Napier (11676598),Shabazz Napier,11676598,PG/SG/G/UTIL,3200,BKN@DAL 11/21/2018 08:30PM ET,BKN,13.67
C,Zaza Pachulia (11676606),Zaza Pachulia,11676606,C/UTIL,3200,DET@HOU 11/21/2018 08:00PM ET,DET,12.09
PF/C,Jon Leuer (11676611),Jon Leuer,11676611,PF/C/F/UTIL,3200,DET@HOU 11/21/2018 08:00PM ET,DET,6.33
C,Nene Hilario (11676615),Nene Hilario,11676615,C/UTIL,3200,DET@HOU 11/21/2018 08:00PM ET,HOU,0
SG/SF,C.J. Miles (11676576),C.J. Miles,11676576,SG/SF/F/G/UTIL,3200,TOR@ATL 11/21/2018 07:30PM ET,TOR,10.31
SG/SF,Vince Carter (11676593),Vince Carter,11676593,SG/SF/F/G/UTIL,3200,TOR@ATL 11/21/2018 07:30PM ET,ATL,13.79
PG,Landry Shamet (11676581),Landry Shamet,11676581,PG/G/UTIL,3200,NO@PHI 11/21/2018 07:00PM ET,PHI,12.16
PG/SG,Ian Clark (11676584),Ian Clark,11676584,PG/SG/G/UTIL,3200,NO@PHI 11/21/2018 07:00PM ET,NO,9.72
PF/C,Davis Bertans (11676602),Davis Bertans,11676602,PF/C/F/UTIL,3200,MEM@SA 11/21/2018 08:30PM ET,SA,11.86
PG/SG,Cameron Payne (11676623),Cameron Payne,11676623,PG/SG/G/UTIL,3100,PHO@CHI 11/21/2018 08:00PM ET,CHI,16.32
SG/SF,Kyle Korver (11676665),Kyle Korver,11676665,SG/SF/F/G/UTIL,3100,LAL@CLE 11/21/2018 08:00PM ET,CLE,9.90
C,Meyers Leonard (11676630),Meyers Leonard,11676630,C/UTIL,3100,POR@MIL 11/21/2018 08:00PM ET,POR,12.19
PF,Jake Layman (11676642),Jake Layman,11676642,PF/F/UTIL,3100,POR@MIL 11/21/2018 08:00PM ET,POR,11.38
SG/SF,Tony Snell (11676648),Tony Snell,11676648,SG/SF/F/G/UTIL,3100,POR@MIL 11/21/2018 08:00PM ET,MIL,11.44
C,John Henson (11676670),John Henson,11676670,C/UTIL,3100,POR@MIL 11/21/2018 08:00PM ET,MIL,16.02
SG,Dwayne Bacon (11676639),Dwayne Bacon,11676639,SG/G/UTIL,3100,IND@CHA 11/21/2018 07:00PM ET,CHA,10.44
SG,Malik Beasley (11676632),Malik Beasley,11676632,SG/G/UTIL,3100,DEN@MIN 11/21/2018 08:00PM ET,DEN,12.04
PG/SG,Raymond Felton (11676635),Raymond Felton,11676635,PG/SG/G/UTIL,3100,OKC@GS 11/21/2018 10:30PM ET,OKC,11.82
PF,Maxi Kleber (11676627),Maxi Kleber,11676627,PF/F/UTIL,3100,BKN@DAL 11/21/2018 08:30PM ET,DAL,15.44
SG/SF,Luke Kennard (11676655),Luke Kennard,11676655,SG/SF/F/G/UTIL,3100,DET@HOU 11/21/2018 08:00PM ET,DET,10.58
PG,Michael Carter-Williams (11676672),Michael Carter-Williams,11676672,PG/G/UTIL,3100,DET@HOU 11/21/2018 08:00PM ET,HOU,10.53
SG/SF,Norman Powell (11676660),Norman Powell,11676660,SG/SF/F/G/UTIL,3100,TOR@ATL 11/21/2018 07:30PM ET,TOR,11
SF/PF,Darius Miller (11676619),Darius Miller,11676619,SF/PF/F/UTIL,3100,NO@PHI 11/21/2018 07:00PM ET,NO,10.69
C,Drew Eubanks (11676617),Drew Eubanks,11676617,C/UTIL,3100,MEM@SA 11/21/2018 08:30PM ET,SA,2.75
SG,MarShon Brooks (11676645),MarShon Brooks,11676645,SG/G/UTIL,3100,MEM@SA 11/21/2018 08:30PM ET,MEM,12.1
C,Jakob Poeltl (11676653),Jakob Poeltl,11676653,C/UTIL,3100,MEM@SA 11/21/2018 08:30PM ET,SA,10.79
SG,Dillon Brooks (11676675),Dillon Brooks,11676675,SG/G/UTIL,3100,MEM@SA 11/21/2018 08:30PM ET,MEM,12.89
SF,George King (11676678),George King,11676678,SF/F/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,PHO,0
PG,Tyler Ulis (11676681),Tyler Ulis,11676681,PG/G/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,CHI,0
PG,Rawle Alkins (11676684),Rawle Alkins,11676684,PG/G/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,CHI,0
PG/SG,Jamal Crawford (11676857),Jamal Crawford,11676857,PG/SG/G/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,PHO,8.59
SG,De'Anthony Melton (11676918),De'Anthony Melton,11676918,SG/G/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,PHO,8
PF/C,Ryan Anderson (11676926),Ryan Anderson,11676926,PF/C/F/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,PHO,11.21
SG,Troy Daniels (11676991),Troy Daniels,11676991,SG/G/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,PHO,6.6
PF,Dragan Bender (11676994),Dragan Bender,11676994,PF/F/UTIL,3000,PHO@CHI 11/21/2018 08:00PM ET,PHO,2.17
