Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,LeBron James (11707470),LeBron James,11707470,SF/PF/F/UTIL,10900,LAL@DEN 11/27/2018 09:00PM ET,LAL,53.46
C,Andre Drummond (11707474),Andre Drummond,11707474,C/UTIL,9600,NY@DET 11/27/2018 07:00PM ET,DET,48.12
SF/PF,Kawhi Leonard (11707476),Kawhi Leonard,11707476,SF/PF/F/UTIL,9400,TOR@MEM 11/27/2018 08:00PM ET,TOR,44.45
PF/C,Blake Griffin (11707480),Blake Griffin,11707480,PF/C/F/UTIL,9300,NY@DET 11/27/2018 07:00PM ET,DET,47.52
PG/SG,Victor Oladipo (11707484),Victor Oladipo,11707484,PG/SG/G/UTIL,9000,IND@PHO 11/27/2018 09:00PM ET,IND,41.31
C,Marc Gasol (11707488),Marc Gasol,11707488,C/UTIL,8900,TOR@MEM 11/27/2018 08:00PM ET,MEM,42.71
C,Nikola Jokic (11707490),Nikola Jokic,11707490,C/UTIL,8800,LAL@DEN 11/27/2018 09:00PM ET,DEN,44
PG/SG,Devin Booker (11707492),Devin Booker,11707492,PG/SG/G/UTIL,8600,IND@PHO 11/27/2018 09:00PM ET,PHO,41.86
C,Hassan Whiteside (11707496),Hassan Whiteside,11707496,C/UTIL,8200,ATL@MIA 11/27/2018 07:30PM ET,MIA,39.19
PG,Kyle Lowry (11707498),Kyle Lowry,11707498,PG/G/UTIL,7800,TOR@MEM 11/27/2018 08:00PM ET,TOR,40.25
PG,Mike Conley (11707501),Mike Conley,11707501,PG/G/UTIL,7700,TOR@MEM 11/27/2018 08:00PM ET,MEM,37.18
SG/SF,Josh Richardson (11707504),Josh Richardson,11707504,SG/SF/F/G/UTIL,7400,ATL@MIA 11/27/2018 07:30PM ET,MIA,34.17
C,Deandre Ayton (11707509),Deandre Ayton,11707509,C/UTIL,7100,IND@PHO 11/27/2018 09:00PM ET,PHO,36.60
PG/SG,Jamal Murray (11707511),Jamal Murray,11707511,PG/SG/G/UTIL,6900,LAL@DEN 11/27/2018 09:00PM ET,DEN,32.11
C,Enes Kanter (11707515),Enes Kanter,11707515,C/UTIL,6800,NY@DET 11/27/2018 07:00PM ET,NY,35.33
PF/C,Domantas Sabonis (11707517),Domantas Sabonis,11707517,PF/C/F/UTIL,6700,IND@PHO 11/27/2018 09:00PM ET,IND,33.16
PG,Trae Young (11707521),Trae Young,11707521,PG/G/UTIL,6600,ATL@MIA 11/27/2018 07:30PM ET,ATL,31.84
SG/SF,Tim Hardaway Jr. (11707524),Tim Hardaway Jr.,11707524,SG/SF/F/G/UTIL,6500,NY@DET 11/27/2018 07:00PM ET,NY,34.51
C,John Collins (11707529),John Collins,11707529,C/UTIL,6200,ATL@MIA 11/27/2018 07:30PM ET,ATL,26.85
SF/PF,T.J. Warren (11707531),T.J. Warren,11707531,SF/PF/F/UTIL,6100,IND@PHO 11/27/2018 09:00PM ET,PHO,28.22
PF,Pascal Siakam (11707535),Pascal Siakam,11707535,PF/F/UTIL,6000,TOR@MEM 11/27/2018 08:00PM ET,TOR,29.84
PF/C,Paul Millsap (11707538),Paul Millsap,11707538,PF/C/F/UTIL,5900,LAL@DEN 11/27/2018 09:00PM ET,DEN,28.95
PG,Goran Dragic (11707542),Goran Dragic,11707542,PG/G/UTIL,5900,ATL@MIA 11/27/2018 07:30PM ET,MIA,28.92
SG/SF,Brandon Ingram (11707545),Brandon Ingram,11707545,SG/SF/F/G/UTIL,5800,LAL@DEN 11/27/2018 09:00PM ET,LAL,26.62
PF,Jaren Jackson Jr. (11707550),Jaren Jackson Jr.,11707550,PF/F/UTIL,5800,TOR@MEM 11/27/2018 08:00PM ET,MEM,27.14
PF/C,Serge Ibaka (11707553),Serge Ibaka,11707553,PF/C/F/UTIL,5700,TOR@MEM 11/27/2018 08:00PM ET,TOR,32.19
PG,Lonzo Ball (11707557),Lonzo Ball,11707557,PG/G/UTIL,5600,LAL@DEN 11/27/2018 09:00PM ET,LAL,24.5
SG,Gary Harris (11707564),Gary Harris,11707564,SG/G/UTIL,5600,LAL@DEN 11/27/2018 09:00PM ET,DEN,29.26
PF/C,Noah Vonleh (11707560),Noah Vonleh,11707560,PF/C/F/UTIL,5600,NY@DET 11/27/2018 07:00PM ET,NY,25.05
SG/SF,Will Barton (11707567),Will Barton,11707567,SG/SF/F/G/UTIL,5500,LAL@DEN 11/27/2018 09:00PM ET,DEN,30.75
C,Myles Turner (11707572),Myles Turner,11707572,C/UTIL,5500,IND@PHO 11/27/2018 09:00PM ET,IND,25.70
C,JaVale McGee (11707574),JaVale McGee,11707574,C/UTIL,5400,LAL@DEN 11/27/2018 09:00PM ET,LAL,29.57
PG/SG,Reggie Jackson (11707576),Reggie Jackson,11707576,PG/SG/G/UTIL,5400,NY@DET 11/27/2018 07:00PM ET,DET,26.78
C,Jonas Valanciunas (11707580),Jonas Valanciunas,11707580,C/UTIL,5300,TOR@MEM 11/27/2018 08:00PM ET,TOR,26.95
PG/SG,Dwyane Wade (11707582),Dwyane Wade,11707582,PG/SG/G/UTIL,5300,ATL@MIA 11/27/2018 07:30PM ET,MIA,25.94
SF/PF,Trevor Ariza (11707586),Trevor Ariza,11707586,SF/PF/F/UTIL,5300,IND@PHO 11/27/2018 09:00PM ET,PHO,25.38
SF/PF,Kyle Kuzma (11707595),Kyle Kuzma,11707595,SF/PF/F/UTIL,5200,LAL@DEN 11/27/2018 09:00PM ET,LAL,27.04
SF,Taurean Prince (11707599),Taurean Prince,11707599,SF/F/UTIL,5200,ATL@MIA 11/27/2018 07:30PM ET,ATL,26.63
SG/SF,Tyreke Evans (11707590),Tyreke Evans,11707590,SG/SF/F/G/UTIL,5200,IND@PHO 11/27/2018 09:00PM ET,IND,20.99
SG/SF,Kent Bazemore (11707602),Kent Bazemore,11707602,SG/SF/F/G/UTIL,5100,ATL@MIA 11/27/2018 07:30PM ET,ATL,25.96
PG,Rajon Rondo (11707607),Rajon Rondo,11707607,PG/G/UTIL,5000,LAL@DEN 11/27/2018 09:00PM ET,LAL,25.86
PG/SG,Tyler Johnson (11707610),Tyler Johnson,11707610,PG/SG/G/UTIL,5000,ATL@MIA 11/27/2018 07:30PM ET,MIA,22.22
SG/SF,Rodney McGruder (11707619),Rodney McGruder,11707619,SG/SF/F/G/UTIL,4900,ATL@MIA 11/27/2018 07:30PM ET,MIA,25.84
SG/SF,Bojan Bogdanovic (11707614),Bojan Bogdanovic,11707614,SG/SF/F/G/UTIL,4900,IND@PHO 11/27/2018 09:00PM ET,IND,24.36
SF/PF,Juancho Hernangomez (11707624),Juancho Hernangomez,11707624,SF/PF/F/UTIL,4800,LAL@DEN 11/27/2018 09:00PM ET,DEN,18.86
PG/SF,Kyle Anderson (11707628),Kyle Anderson,11707628,PG/SF/F/G/UTIL,4800,TOR@MEM 11/27/2018 08:00PM ET,MEM,21.88
PG/SG,Jeremy Lin (11707637),Jeremy Lin,11707637,PG/SG/G/UTIL,4700,ATL@MIA 11/27/2018 07:30PM ET,ATL,20.61
PG/SG,Trey Burke (11707633),Trey Burke,11707633,PG/SG/G/UTIL,4700,NY@DET 11/27/2018 07:00PM ET,NY,23.06
PG,Cory Joseph (11707641),Cory Joseph,11707641,PG/G/UTIL,4600,IND@PHO 11/27/2018 09:00PM ET,IND,20.06
C,Bam Adebayo (11707644),Bam Adebayo,11707644,C/UTIL,4500,ATL@MIA 11/27/2018 07:30PM ET,MIA,20.58
PG,Emmanuel Mudiay (11707646),Emmanuel Mudiay,11707646,PG/G/UTIL,4500,NY@DET 11/27/2018 07:00PM ET,NY,21.29
PG,Darren Collison (11707649),Darren Collison,11707649,PG/G/UTIL,4400,IND@PHO 11/27/2018 09:00PM ET,IND,21.26
PG,Isaiah Thomas (11707660),Isaiah Thomas,11707660,PG/G/UTIL,4300,LAL@DEN 11/27/2018 09:00PM ET,DEN,0
PG/SG,Fred VanVleet (11707656),Fred VanVleet,11707656,PG/SG/G/UTIL,4300,TOR@MEM 11/27/2018 08:00PM ET,TOR,20.82
PF/C,Dewayne Dedmon (11707652),Dewayne Dedmon,11707652,PF/C/F/UTIL,4300,ATL@MIA 11/27/2018 07:30PM ET,ATL,21.14
SG/SF,Danny Green (11707668),Danny Green,11707668,SG/SF/F/G/UTIL,4200,TOR@MEM 11/27/2018 08:00PM ET,TOR,20.01
SF/PF,JaMychal Green (11707673),JaMychal Green,11707673,SF/PF/F/UTIL,4200,TOR@MEM 11/27/2018 08:00PM ET,MEM,21.79
PG/SF,Justise Winslow (11707663),Justise Winslow,11707663,PG/SF/F/G/UTIL,4200,ATL@MIA 11/27/2018 07:30PM ET,MIA,23.23
PG,Monte Morris (11707677),Monte Morris,11707677,PG/G/UTIL,4100,LAL@DEN 11/27/2018 09:00PM ET,DEN,19.96
PG/SG,Wayne Ellington (11707680),Wayne Ellington,11707680,PG/SG/G/UTIL,4100,ATL@MIA 11/27/2018 07:30PM ET,MIA,18.67
SG/SF,Reggie Bullock (11707688),Reggie Bullock,11707688,SG/SF/F/G/UTIL,4100,NY@DET 11/27/2018 07:00PM ET,DET,19.54
SF/PF,Thaddeus Young (11707684),Thaddeus Young,11707684,SF/PF/F/UTIL,4100,IND@PHO 11/27/2018 09:00PM ET,IND,21.09
SF/PF,James Johnson (11707693),James Johnson,11707693,SF/PF/F/UTIL,4000,ATL@MIA 11/27/2018 07:30PM ET,MIA,12.81
SF,DeAndre' Bembry (11707697),DeAndre' Bembry,11707697,SF/F/UTIL,4000,ATL@MIA 11/27/2018 07:30PM ET,ATL,21.74
SG/SF,Dion Waiters (11707700),Dion Waiters,11707700,SG/SF/F/G/UTIL,4000,ATL@MIA 11/27/2018 07:30PM ET,MIA,0
SG/SF,Garrett Temple (11707705),Garrett Temple,11707705,SG/SF/F/G/UTIL,3900,TOR@MEM 11/27/2018 08:00PM ET,MEM,19.96
SF/PF,Trey Lyles (11707713),Trey Lyles,11707713,SF/PF/F/UTIL,3800,LAL@DEN 11/27/2018 09:00PM ET,DEN,20.08
PG,Allonzo Trier (11707710),Allonzo Trier,11707710,PG/G/UTIL,3800,NY@DET 11/27/2018 07:00PM ET,NY,18.99
SF,OG Anunoby (11707719),OG Anunoby,11707719,SF/F/UTIL,3700,TOR@MEM 11/27/2018 08:00PM ET,TOR,15.58
