Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Luol Deng (11703738),Luol Deng,11703738,SF/PF/F/UTIL,3000,MIN@CLE 11/26/2018 07:00PM ET,MIN,9.5
SF/PF,Anthony Tolliver (11703742),Anthony Tolliver,11703742,SF/PF/F/UTIL,3000,MIN@CLE 11/26/2018 07:00PM ET,MIN,12.62
SG/SF,C.J. Williams (11703746),C.J. Williams,11703746,SG/SF/F/G/UTIL,3000,MIN@CLE 11/26/2018 07:00PM ET,MIN,3.5
PG/SG,Jerryd Bayless (11703751),Jerryd Bayless,11703751,PG/SG/G/UTIL,3000,MIN@CLE 11/26/2018 07:00PM ET,MIN,0
SG/SF,James Nunnally (11703755),James Nunnally,11703755,SG/SF/F/G/UTIL,3000,MIN@CLE 11/26/2018 07:00PM ET,MIN,4.46
PG,Jared Terrell (11703760),Jared Terrell,11703760,PG/G/UTIL,3000,MIN@CLE 11/26/2018 07:00PM ET,MIN,12.25
SF,Keita Bates-Diop (11703763),Keita Bates-Diop,11703763,SF/F/UTIL,3000,MIN@CLE 11/26/2018 07:00PM ET,MIN,4.88
PF/C,Channing Frye (11703766),Channing Frye,11703766,PF/C/F/UTIL,3000,MIN@CLE 11/26/2018 07:00PM ET,CLE,7.92
PF,Billy Preston (11703770),Billy Preston,11703770,PF/F/UTIL,3000,MIN@CLE 11/26/2018 07:00PM ET,CLE,0
PG,Devonte' Graham (11703773),Devonte' Graham,11703773,PG/G/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,CHA,6.08
SG,J.P. Macura (11703776),J.P. Macura,11703776,SG/G/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,CHA,0
PG,Joe Chealey (11703779),Joe Chealey,11703779,PG/G/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,CHA,0
C,Bismack Biyombo (11703782),Bismack Biyombo,11703782,C/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,CHA,7.22
SG/SF,Tony Snell (11703784),Tony Snell,11703784,SG/SF/F/G/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,MIL,10.95
C,Christian Wood (11703789),Christian Wood,11703789,C/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,MIL,7.4
SG,Jodie Meeks (11703791),Jodie Meeks,11703791,SG/G/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,MIL,0
PF,D.J. Wilson (11703794),D.J. Wilson,11703794,PF/F/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,MIL,0
PF/C,Thon Maker (11703797),Thon Maker,11703797,PF/C/F/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,MIL,12.39
SG,Donte DiVincenzo (11703801),Donte DiVincenzo,11703801,SG/G/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,MIL,13.45
SG,Jaylen Morris (11703804),Jaylen Morris,11703804,SG/G/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,MIL,6.5
PG,Trevon Duval (11703807),Trevon Duval,11703807,PG/G/UTIL,3000,MIL@CHA 11/26/2018 07:00PM ET,MIL,0
C,Ian Mahinmi (11703810),Ian Mahinmi,11703810,C/UTIL,3000,HOU@WAS 11/26/2018 07:00PM ET,WAS,11.46
PG/SG,Jordan McRae (11703812),Jordan McRae,11703812,PG/SG/G/UTIL,3000,HOU@WAS 11/26/2018 07:00PM ET,WAS,4
SG,Devin Robinson (11703816),Devin Robinson,11703816,SG/G/UTIL,3000,HOU@WAS 11/26/2018 07:00PM ET,WAS,0
SF,Troy Brown (11703819),Troy Brown,11703819,SF/F/UTIL,3000,HOU@WAS 11/26/2018 07:00PM ET,WAS,5.19
PF,Okaro White (11703822),Okaro White,11703822,PF/F/UTIL,3000,HOU@WAS 11/26/2018 07:00PM ET,WAS,2.5
PG,Michael Carter-Williams (11703825),Michael Carter-Williams,11703825,PG/G/UTIL,3000,HOU@WAS 11/26/2018 07:00PM ET,HOU,10.02
PG/SG,Brandon Knight (11703828),Brandon Knight,11703828,PG/SG/G/UTIL,3000,HOU@WAS 11/26/2018 07:00PM ET,HOU,0
SF,Vincent Edwards (11703832),Vincent Edwards,11703832,SF/F/UTIL,3000,HOU@WAS 11/26/2018 07:00PM ET,HOU,4.75
PF/C,Marquese Chriss (11703835),Marquese Chriss,11703835,PF/C/F/UTIL,3000,HOU@WAS 11/26/2018 07:00PM ET,HOU,3.5
C,Zhou Qi (11703839),Zhou Qi,11703839,C/UTIL,3000,HOU@WAS 11/26/2018 07:00PM ET,HOU,2
C,Timofey Mozgov (11703841),Timofey Mozgov,11703841,C/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,ORL,0
PF,Khem Birch (11703843),Khem Birch,11703843,PF/F/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,ORL,4.61
PF,Amile Jefferson (11703846),Amile Jefferson,11703846,PF/F/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,ORL,0
PF/C,Jarell Martin (11703849),Jarell Martin,11703849,PF/C/F/UTIL,3000,ORL@GS 11/26/2018 10:30PM ET,ORL,7.17
